Timestamp,Firm exit status,Do you have your CPA license?,How many years of experience in accounting do you have? (If none please skip),What is your current salary + bonus in USD? (Example Format: 50000) (If none please skip),"If you have exited a public accounting firm, how many years did you work in public accounting before exiting? (Please skip if this doesn't apply to you)",What industry do you work in?,What COL is your region?,Where do you live?,Gender,What is your line of service? (Or was in the case of those who have exited),How many hours do you currently work per week on average? 
7/28/2020 20:23:11,I am still in school,No,0,,,,High,United States,Male,,
7/29/2020 6:37:52,I am currently working at a Big 4 accounting firm,No,0,"100,000",,Public Accounting,Medium,United States,Female,Tax,
7/31/2020 12:35:59,I am currently working at a Big 4 accounting firm,No,0,63000,,Public Accounting,High,United States,Male,Audit,50
7/31/2020 16:42:05,I am currently working at a mid-tier or local accounting firm,No,0,61000,,Public Accounting,High,United States,Male,Tax,50
8/3/2020 2:00:26,I am currently working at a mid-tier or local accounting firm,No,0,67000,,Public Accounting,High,United States,Male,Process Automation (Python),40
8/6/2020 7:36:28,I have never worked at a public accounting firm,No,0,,,Construction,Medium,United States,Male,,40
8/7/2020 21:03:42,I am still in school,No,0,62000,,Finance,Medium,United States,Female,Audit,40
7/30/2020 11:05:20,I am currently working at a Big 4 accounting firm,No,0.2,63000,,Technology,High,United States,Male,Advisory - Risk/IT Advisory,
8/4/2020 10:24:56,I am still in school,No,0.25,100000,,,High,United States,Male,Intern at big 4. salary is offer upon graduation. ,
7/30/2020 1:46:09,I have never worked at a public accounting firm,No,0.3,81000,,Technology,Medium,United States,Prefer not to say,Consulting,
7/28/2020 23:16:52,I am currently working at a Big 4 accounting firm,No,0.5,50500,,Public Accounting,High,Canada,Male,Audit,
7/28/2020 23:52:45,I have already exited from a Big 4 Accounting firm,No,0.5,105000,0.5,Finance,High,United States,Male,Audit,
7/30/2020 9:16:06,I am currently working at a Big 4 accounting firm,No,0.5,56000,,Public Accounting,High,United States,Male,Tax,
7/30/2020 22:19:03,I am currently working at a Big 4 accounting firm,No,0.5,40000,,Public Accounting,Medium,Australia/New Zealand,Female,Audit,50
8/6/2020 15:21:28,I have never worked at a public accounting firm,No,0.5,48000,,,,United States,Male,Internal Audit,45
8/8/2020 20:36:43,I have never worked at a public accounting firm,No,0.5,45000,,Other,High,United States,Male,HOA MGMT,40
8/12/2020 16:46:11,I am currently working at a mid-tier or local accounting firm,No,0.5,61000,,Public Accounting,High,United States,Female,Tax,55
7/29/2020 23:17:35,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,0.7,57249,,Public Accounting,Medium,United States,Female,Audit,
7/29/2020 0:59:50,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,0.75,56000,,Public Accounting,Medium,United States,Prefer not to say,Tax,
7/30/2020 0:00:56,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,0.75,60000,,Public Accounting,High,United States,Male,Audit,
7/29/2020 22:35:50,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,0.8,60000,,Public Accounting,Medium,United States,Male,Advisory - Risk/IT Advisory,
8/5/2020 20:44:47,I am currently working at a mid-tier or local accounting firm,No,0.8,30250,,Public Accounting,Medium,Caribbean ,Female,Audit,38
7/28/2020 19:03:43,I am currently working at a Big 4 accounting firm,No,1,54500,,Public Accounting,Medium,United States,,,
7/28/2020 19:23:12,I am currently working at a Big 4 accounting firm,Yes,1,52000,,Public Accounting,Low,United States,Male,Audit,
7/28/2020 19:25:46,I am currently working at a Big 4 Accounting firm,No,1,65000,,Public Accounting,Medium,United States,Male,Audit,
7/28/2020 20:18:57,I am currently working at a mid-tier or local accounting firm,No,1,56000,,Public Accounting,Low,Australia/New Zealand,Male,Advisory - Transaction Services/Financial Due Diligence/Corporate Finance/Restructuring,
7/28/2020 20:25:59,I am currently working at a mid-tier or local accounting firm,No,1,44000,,Public Accounting,High,Canada,Prefer not to say,Audit,
7/28/2020 20:28:21,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,64000,,Public Accounting,High,United States,Male,Audit,
7/28/2020 20:38:27,I am currently working at a Big 4 accounting firm,No,1,58000,,Energy,Medium,United States,Male,Audit,
7/28/2020 20:39:37,I am currently working at a Big 4 accounting firm,No,1,58000,,Energy,Medium,United States,Male,Audit,
7/28/2020 20:40:08,I am currently working at a Big 4 accounting firm,Yes,1,"50,000",,Public Accounting,Medium,United States,Male,Audit,
7/28/2020 20:18:00,I am still in school,No,,19.50 HR,,Agriculture/Food processing,Medium,United States,Male,Corporate accounting,
7/28/2020 20:54:36,I am currently working at a Big 4 accounting firm,No,1,53000,,Public Accounting,Medium,United States,Male,Tax,
7/28/2020 20:54:37,I have never worked at a public accounting firm,No,1,52000,,Other,Medium,Canada,Male,,
7/28/2020 21:04:55,I am currently working at a mid-tier or local accounting firm,No,1,71000,,Public Accounting,High,United States,Female,"Audit, tax, advisory",
7/28/2020 21:24:47,I have never worked at a public accounting firm,No,1,44000,0,Government,Low,United States,Male,Audit,
7/28/2020 21:55:13,I am currently working at a mid-tier or local accounting firm,No,1,"55,000",,Public Accounting,Medium,United States,Male,Audit,
7/28/2020 22:06:03,I am currently working at a mid-tier or local accounting firm,No,1,61000,,Public Accounting,Low,United States,Male,Audit,
