Exit Status,Has CPA,Years Experience,Current Salary + Bonus,Years Public Before Exit,Current Industry,What COL is your region?,Gender,Line of Service,Average Hours Per Week
I am currently working at a Big 4 accounting firm,No,3.0,100000.0,,Public Accounting,Medium,Female,Tax,
I am currently working at a Big 4 accounting firm,No,3.0,63000.0,,Public Accounting,High,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,No,3.0,61000.0,,Public Accounting,High,Male,Tax,50.0
I am currently working at a mid-tier or local accounting firm,No,3.0,67000.0,,Public Accounting,High,Male,Other,40.0
I have never worked at a public accounting firm,No,4.5,72000.0,,Construction,Medium,Male,Other,40.0
I am currently working at a Big 4 accounting firm,No,0.2,63000.0,,Public Accounting,High,Male,Advisory,
I am still in school,No,0.25,100000.0,,Other,High,Male,Intern,
I have never worked at a public accounting firm,No,0.3,81000.0,,Technology,Medium,Undisclosed,Other,
I have already exited from a Big 4 Accounting firm,No,0.5,105000.0,0.5,Finance,High,Male,Audit,
I am currently working at a Big 4 accounting firm,No,0.5,56000.0,,Public Accounting,High,Male,Tax,
I have never worked at a public accounting firm,No,0.5,48000.0,,Other,Medium,Male,Audit,45.0
I have never worked at a public accounting firm,No,0.5,45000.0,,Other,High,Male,Other,40.0
I am currently working at a mid-tier or local accounting firm,No,0.5,61000.0,,Public Accounting,High,Female,Tax,55.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,0.7,57249.0,,Public Accounting,Medium,Female,Audit,
I am currently working at a Big 4 accounting firm,Finishing Exp Req,0.75,56000.0,,Public Accounting,Medium,Undisclosed,Tax,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,0.75,60000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Finishing Exp Req,0.8,60000.0,,Public Accounting,Medium,Male,Advisory,
I am currently working at a Big 4 accounting firm,No,1.0,54500.0,,Public Accounting,Medium,Undisclosed,Other,
I am currently working at a Big 4 accounting firm,Yes,1.0,52000.0,,Public Accounting,Low,Male,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,65000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,64000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,58000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,58000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,1.0,50000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,53000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,1.0,71000.0,,Public Accounting,High,Female,Tax and Audit,
I have never worked at a public accounting firm,No,1.0,44000.0,,Government,Low,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,1.0,55000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,1.0,61000.0,,Public Accounting,Low,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,57000.0,,Public Accounting,Medium,Female,Tax,
I am currently working at a Big 4 accounting firm,No,1.0,61000.0,,Public Accounting,High,Female,Audit,
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,53000.0,,Public Accounting,Medium,Male,Audit,
I have never worked at a public accounting firm,No,1.0,72000.0,,Finance,Medium,Male,Other,
I have never worked at a public accounting firm,No,1.0,72000.0,,Manufacturing,Medium,Male,Other,
I am currently working at a mid-tier or local accounting firm,No,1.0,62000.0,,Public Accounting,High,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,73000.0,,Public Accounting,High,Male,Tax,
I have never worked at a public accounting firm,No,1.0,53000.0,,Government,Medium,Male,Audit,
I have never worked at a public accounting firm,No,1.0,70000.0,,Construction,High,Male,Other,
I am currently working at a mid-tier or local accounting firm,No,1.0,33600.0,,Public Accounting,High,Male,Tax,
I am currently working at a Big 4 accounting firm,No,1.0,56500.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,1.0,66000.0,,Public Accounting,High,Male,Tax,
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,64000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,71500.0,,Public Accounting,High,Male,Advisory,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,54000.0,,Public Accounting,Medium,Male,Audit,
I have already exited from a Big 4 Accounting firm,No,1.0,70000.0,1.0,Other,High,Male,Advisory,
I have never worked at a public accounting firm,No,1.0,60000.0,,Manufacturing,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,52000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,52000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,61000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,55000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,54000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,1.0,64000.0,,Public Accounting,High,Male,Audit,
I am still in school,No,1.0,72000.0,,Public Accounting,Medium,Male,Tax,
I have never worked at a public accounting firm,Finishing Exp Req,1.0,55000.0,,Government,Medium,Male,Other,
I am currently working at a Big 4 accounting firm,No,1.0,54000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,63000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,63000.0,,Public Accounting,High,Female,Tax,
I am currently working at a mid-tier or local accounting firm,No,1.0,63000.0,,Public Accounting,Medium,Undisclosed,Audit,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,52000.0,,Public Accounting,Low,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,1.0,70000.0,,Public Accounting,High,Male,Tax,
I am currently working at a Big 4 accounting firm,No,1.0,63000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,1.0,63130.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,60000.0,,Public Accounting,Medium,Male,Advisory,
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,60000.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,1.0,72000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,1.0,52000.0,,Public Accounting,Low,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,1.0,65000.0,,Public Accounting,High,Male,Tax,
I am currently working at a Big 4 accounting firm,No,1.0,57000.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,1.0,60000.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,62000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,57000.0,,Public Accounting,Medium,Undisclosed,Tax,
I am currently working at a Big 4 accounting firm,No,1.0,59000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,60000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,1.0,56000.0,,Public Accounting,Medium,Female,Tax,
I have never worked at a public accounting firm,No,1.0,55680.5,,Government,Medium,Undisclosed,Finance,
I am currently working at a Big 4 accounting firm,No,1.0,54500.0,,Public Accounting,Medium,Female,Audit,
I am currently working at a mid-tier or local accounting firm,No,1.0,55500.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,60000.0,,Public Accounting,High,Female,Tax,
I have never worked at a public accounting firm,No,1.0,45000.0,,Government,High,Male,Other,
I have never worked at a public accounting firm,No,1.0,47000.0,,Government,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,1.0,59000.0,,Public Accounting,Medium,Male,Audit,
I have never worked at a public accounting firm,No,1.0,55000.0,,Government,Low,Male,Audit,
I have never worked at a public accounting firm,No,1.0,55000.0,,Medical,Medium,Male,Other,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,51000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,1.0,63000.0,,Public Accounting,Low,Male,Tax,
I am currently working at a Big 4 accounting firm,Yes,1.0,55000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,1.0,66000.0,,Public Accounting,Medium,Female,Tax,
I have already exited from a mid-tier or local accounting firm,No,1.0,48000.0,0.5,Other,Medium,Male,Tax,
I am currently working at a Big 4 accounting firm,No,1.0,60000.0,,Public Accounting,Medium,Male,Audit,
I am still in school,No,1.0,35000.0,,Public Accounting,High,Female,Tax,
I am currently working at a Big 4 accounting firm,Yes,1.0,55000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a Big 4 accounting firm,No,1.0,63000.0,,Public Accounting,High,Male,Tax,
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,55500.0,,Public Accounting,Low,Female,Tax,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,66000.0,,Public Accounting,Medium,Male,Tax and Audit,
I am currently working at a mid-tier or local accounting firm,No,1.0,64000.0,,Public Accounting,High,Male,Audit,23.0
I am currently working at a Big 4 accounting firm,No,1.0,61000.0,,Public Accounting,High,Female,Audit,40.0
I have already exited from a Big 4 Accounting firm,No,1.0,60000.0,1.0,Finance,Medium,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,66200.0,,Public Accounting,High,Male,Tax,50.0
I am currently working at a mid-tier or local accounting firm,No,1.0,40000.0,,Public Accounting,Medium,Male,Other,42.0
I am currently working at a mid-tier or local accounting firm,No,1.0,49000.0,,Public Accounting,Low,Male,Audit,55.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,79000.0,,Public Accounting,High,Male,Advisory,45.0
I have never worked at a public accounting firm,No,1.0,54912.0,,Finance,Medium,Male,Corporate,41.0
